Price,Open,High,Low,Close,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,
2015-07-15,1570.2265686035155,1570.2265686035155,1535.5041137695312,1543.22021484375,58466000
2015-07-22,1574.0846909743088,1604.9490966796875,1562.510538834792,1604.9490966796875,146678400
2015-07-23,1589.5167465965349,1601.0908976639853,1558.65234375,1558.65234375,80344400
2015-07-24,1550.9363159179686,1558.6524169921875,1535.5041137695312,1543.22021484375,101181200
2015-07-27,1539.3619985530515,1550.936148918112,1469.9170963626882,1473.775146484375,139128000
2015-07-28,1446.7691650390623,1454.485267252604,1431.336960611979,1446.7691650390625,107764400
2015-07-29,1458.3431030273437,1473.775305175781,1446.7689514160156,1466.0592041015625,111259600
2015-07-30,1481.4912647637796,1489.207365101091,1458.3429637518454,1469.9171142578125,115432800
2015-07-31,1466.059064089157,1477.633214595124,1439.0527129085672,1469.9171142578125,226184800
2015-08-03,1450.6269782941365,1500.7816344585615,1450.6269782941365,1496.923583984375,189702800
2015-08-04,1496.9234654384022,1508.4976159443693,1462.201013920501,1469.9171142578125,172058000
2015-08-05,1481.4914301658164,1512.3558349609375,1469.917278367646,1512.3558349609375,182880400
2015-08-06,1527.7880373584983,1554.7943915542292,1504.6397337621572,1512.3558349609375,138502000
2015-08-07,1508.4976487233848,1508.4976487233848,1485.349347208448,1489.2073974609375,60834400
2015-08-10,1504.6395657757137,1504.6395657757137,1458.3429637518454,1469.9171142578125,64787200
2015-08-11,1485.3494696278392,1489.207520198301,1408.1884582186008,1412.0465087890625,166308400
2015-08-12,1388.8980934836648,1388.8980934836648,1315.5951385498047,1358.03369140625,199885200
2015-08-13,1369.6081073467549,1415.9047194260818,1365.7500563401443,1404.33056640625,148333600
2015-08-14,1404.3301486545138,1404.3301486545138,1381.1818495008679,1388.89794921875,122529600
2015-08-18,1381.181992964311,1388.8980934836648,1350.3175908868961,1358.03369140625,83244000
2015-08-19,1358.033764367816,1369.6079157686781,1331.027411099138,1342.6015625,92040000
2015-08-20,1327.169360632184,1342.6015625,1315.5952092313219,1342.6015625,87566000
2015-08-21,1311.737060546875,1319.4531609030332,1296.3048598345588,1311.737060546875,136115600
2015-08-24,1277.0147216050266,1288.5888731603593,1253.8664184943616,1261.58251953125,129089600
2015-08-25,1265.4404584099266,1334.8853616153492,1265.4404584099266,1311.737060546875,296784800
2015-08-26,1319.453369140625,1338.7436230754295,1288.588962844938,1319.453369140625,202368000
2015-08-27,1350.31745062934,1392.7559990776908,1342.6013509114582,1388.89794921875,219296800
2015-08-28,1419.762541967975,1431.3366931253227,1385.0400884959322,1400.4722900390625,174394000
2015-08-31,1385.0403113731973,1408.1886174128606,1381.1822603665867,1404.33056640625,107618400
2015-09-01,1388.8980233703437,1388.8980233703437,1338.7433725264148,1346.45947265625,74196800
2015-09-02,1342.6014903675425,1369.6078421852806,1327.1692893288352,1358.03369140625,66349600
2015-09-03,1365.7500186736456,1381.1822222744777,1354.1758659730215,1361.8919677734375,95144800
2015-09-04,1358.0339168732296,1369.6080695738535,1346.4597641726054,1361.8919677734375,41096400
2015-09-07,1358.0337276785715,1361.8917780412946,1342.6015262276785,1350.317626953125,54352800
